2025-02-27_22-18-07,000%,shell.cpp:2025-02-27_22-18-07
2025-02-27_23-10-04,erro_compilação,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-10-04
2025-02-27_23-10-28,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-10-28
2025-02-27_23-22-44,erro_compilação,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-22-44
2025-02-27_23-23-03,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-23-03
2025-02-27_23-23-14,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-23-14
2025-02-27_23-23-38,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-23-38
2025-02-27_23-26-25,erro_compilação,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-26-25
2025-02-27_23-27-05,erro_compilação,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-27-05
2025-02-27_23-31-11,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-31-11
2025-02-27_23-33-32,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-33-32
2025-02-27_23-33-45,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-33-45
2025-02-27_23-35-09,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-35-09
2025-02-27_23-36-09,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-35-09
2025-02-27_23-42-05,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-42-05
2025-02-27_23-43-09,erro_compilação,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-43-09
2025-02-27_23-43-15,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-43-15
2025-02-27_23-44-08,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-44-08
2025-02-27_23-44-47,000%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-44-47
2025-02-27_23-50-20,010%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-50-20
2025-02-27_23-55-04,erro_compilação,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-55-04
2025-02-27_23-55-21,010%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-55-21
2025-02-27_23-55-32,020%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-55-32
2025-02-27_23-58-00,erro_compilação,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-58-00
2025-02-27_23-58-12,020%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-27_23-58-12
2025-02-28_00-01-07,040%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-01-07
2025-02-28_00-03-46,050%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-03-46
2025-02-28_00-04-35,060%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-04-35
2025-02-28_00-04-50,070%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-04-50
2025-02-28_00-06-03,070%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-06-03
2025-02-28_00-06-39,080%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-06-39
2025-02-28_00-07-28,080%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-07-28
2025-02-28_00-08-07,Execução Livre,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-07-28
2025-02-28_00-09-22,090%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-09-22
2025-02-28_00-18-12,090%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-09-22
2025-02-28_00-20-32,090%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-20-32
2025-02-28_00-21-44,100%,fn.hpp:2025-02-27_23-10-04;shell.cpp:2025-02-28_00-21-44
